i: 0, j: 2, time: 0
i: 0, j: 4, time: 0
i: 0, j: 2, time: 28
i: 0, j: 1, time: 14
i: 1, j: 1, time: 0
i: 2, j: 2, time: 7
i: 3, j: 0, time: 14
i: 3, j: 3, time: 20
i: 3, j: 3, time: 14
i: 4, j: 1, time: 23
i: 2, j: 1, time: 23
i: 1, j: 1, time: 20
i: 3, j: 0, time: 0
i: 3, j: 3, time: 0
i: 4, j: 1, time: 3
i: 2, j: 1, time: 9
i: 1, j: 1, time: 0
i: 0, j: 3, time: 9
i: 0, j: 1, time: 21
i: 2, j: 2, time: 18
i: 2, j: 2, time: 12
i: 2, j: 1, time: 9
i: 0, j: 1, time: 21
i: 0, j: 1, time: 9
i: 1, j: 0, time: 9
i: 2, j: 1, time: 9
i: 0, j: 4, time: 0
i: 0, j: 2, time: 28
i: 0, j: 1, time: 14
i: 1, j: 1, time: 0
i: 2, j: 2, time: 7
i: 1, j: 2, time: 10
i: 2, j: 1, time: 31
i: 0, j: 1, time: 31
i: 2, j: 1, time: 3
i: 0, j: 3, time: 3
i: 3, j: 1, time: 24
i: 3, j: 1, time: 10
i: 2, j: 2, time: 15
i: 3, j: 1, time: 15
i: 1, j: 1, time: 6
i: 0, j: 1, time: 12
i: 0, j: 2, time: 6
i: 2, j: 2, time: 3
i: 3, j: 1, time: 3
i: 1, j: 1, time: 0
i: 0, j: 1, time: 0
i: 0, j: 2, time: 0
i: 2, j: 1, time: 9
i: 1, j: 2, time: 0
i: 4, j: 2, time: 0
i: 0, j: 2, time: 6
i: 0, j: 4, time: 0
i: 0, j: 2, time: 28
i: 0, j: 1, time: 14
i: 1, j: 1, time: 0
i: 2, j: 2, time: 7
i: 0, j: 2, time: 15
i: 0, j: 0, time: 15
i: 0, j: 2, time: 3
i: 0, j: 3, time: 3
i: 1, j: 1, time: 6
i: 2, j: 1, time: 12
i: 2, j: 1, time: 6
i: 2, j: 2, time: 3
i: 2, j: 1, time: 9
i: 1, j: 2, time: 0
i: 4, j: 2, time: 0
i: 0, j: 2, time: 6
i: 2, j: 2, time: 3
i: 3, j: 1, time: 3
i: 1, j: 1, time: 0
i: 0, j: 1, time: 0
i: 0, j: 2, time: 0
i: 0, j: 1, time: 51
i: 2, j: 2, time: 48
i: 2, j: 2, time: 42
i: 2, j: 1, time: 39
i: 0, j: 1, time: 51
i: 0, j: 1, time: 39
i: 2, j: 1, time: 39
i: 0, j: 1, time: 27
i: 2, j: 1, time: 27
i: 2, j: 2, time: 45
i: 3, j: 1, time: 45
i: 0, j: 1, time: 42
i: 0, j: 2, time: 36
i: 2, j: 2, time: 33
i: 3, j: 1, time: 33
i: 0, j: 1, time: 30
i: 0, j: 2, time: 30
i: 2, j: 1, time: 39
i: 0, j: 2, time: 36
i: 2, j: 2, time: 45
i: 2, j: 2, time: 33
i: 3, j: 1, time: 45
i: 3, j: 1, time: 33
i: 0, j: 1, time: 42
i: 0, j: 2, time: 33
i: 0, j: 1, time: 39
i: 2, j: 2, time: 36
i: 2, j: 2, time: 30
i: 2, j: 1, time: 30
i: 2, j: 2, time: 33
i: 2, j: 2, time: 21
i: 3, j: 1, time: 33
i: 3, j: 1, time: 21
i: 0, j: 1, time: 30
i: 0, j: 2, time: 21
i: 0, j: 1, time: 27
i: 2, j: 2, time: 24
i: 2, j: 2, time: 18
i: 2, j: 1, time: 18
i: 2, j: 1, time: 39
i: 0, j: 2, time: 36
i: 2, j: 1, time: 15
i: 2, j: 1, time: 39
i: 2, j: 1, time: 15
i: 0, j: 2, time: 33
i: 0, j: 0, time: 33
i: 2, j: 1, time: 30
i: 2, j: 1, time: 24
i: 2, j: 2, time: 24
i: 0, j: 1, time: 27
i: 2, j: 2, time: 24
i: 2, j: 2, time: 18
i: 2, j: 1, time: 15
i: 0, j: 1, time: 51
i: 2, j: 2, time: 48
i: 2, j: 2, time: 42
i: 2, j: 1, time: 39
i: 0, j: 1, time: 51
i: 0, j: 1, time: 39
i: 2, j: 1, time: 39
i: 0, j: 1, time: 27
i: 2, j: 1, time: 27
i: 2, j: 2, time: 45
i: 3, j: 1, time: 45
i: 0, j: 1, time: 42
i: 0, j: 2, time: 36
i: 2, j: 2, time: 33
i: 3, j: 1, time: 33
i: 0, j: 1, time: 30
i: 0, j: 2, time: 30
i: 2, j: 1, time: 39
i: 0, j: 2, time: 36
i: 0, j: 1, time: 27
i: 2, j: 2, time: 24
i: 2, j: 2, time: 18
i: 2, j: 1, time: 15
